ID,Hospital Name,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,Score,District,Risk
22,Reynolds-Young Medical Group,2,8,8,6,10,10,2,2,10,8,8,10,6,10,6,6,8,10,755,3,Medium
23,Mitchell and Sons Medical Group,8,10,4,8,10,2,2,10,10,4,10,10,6,6,8,8,10,2,750,4,High
24,Ferguson PLC Medical Center,10,6,10,8,10,8,8,2,8,2,6,10,2,10,8,10,6,4,750,5,High
25,Miller Medical Group,4,8,6,8,10,6,10,8,6,6,8,10,4,2,10,8,4,10,750,4,High
26,"Wilson, Robles and Morse Medical Group",10,2,10,4,4,10,8,4,8,10,10,10,10,8,2,6,10,2,750,2,High
27,Carter Inc Medical Group,10,4,10,2,4,6,8,4,8,10,10,10,4,10,6,6,10,6,745,3,Medium
28,"Ritter, Cabrera and Hess Medical Group",8,10,4,4,4,10,8,10,8,6,8,10,10,4,4,2,10,8,745,1,Medium
29,"Elliott, Murphy and Cochran Medical Group",8,10,10,8,2,6,8,6,2,10,10,2,10,8,4,4,10,10,745,1,Medium
30,Cardenas-Mullins Medical Group,10,6,10,10,4,8,6,8,4,2,6,8,10,10,6,2,8,10,745,2,Medium
31,Carter-Brown Hospital Group,10,8,10,8,10,10,2,6,4,8,2,10,10,10,6,4,2,8,745,3,Medium
32,Walton-Williams General Hospital,8,10,6,8,6,6,4,10,10,8,2,8,8,6,2,10,8,6,740,5,High
33,Kramer-Torres Hospital Group,6,6,8,8,4,2,6,6,10,10,10,6,10,4,10,8,2,10,740,4,High
34,Coleman General Hospital,2,10,8,6,8,8,10,4,8,6,10,4,10,8,4,8,8,4,740,1,High
35,"Lewis, Murray and Mercado General Hospital",6,2,10,10,6,10,10,8,10,10,2,6,8,2,2,10,10,4,740,5,High
36,Deleon-Cox Medical Center,10,6,8,6,10,10,8,6,6,4,10,6,2,2,6,10,10,6,740,2,High
37,"Robinson, Dalton and Gray Medical Center",4,10,4,8,10,10,10,6,6,8,8,2,8,4,8,8,2,10,735,4,Medium
38,Allen Medical Center,8,10,6,10,6,10,2,6,6,8,4,10,8,10,8,6,4,4,735,4,Medium
39,Davidson Medical Center,10,10,6,8,4,6,6,6,6,6,10,6,2,10,10,10,2,8,735,1,Medium
40,"Thompson, Reid and Daniels Hospital Group",2,2,4,4,10,10,8,8,8,4,10,4,10,10,6,6,10,10,735,1,Medium
41,Lee-Parker Hospital Group,2,6,10,10,10,2,8,4,6,4,8,8,4,10,10,10,4,10,735,1,Medium
42,Rosales-Rodriguez Medical Group,10,8,8,6,2,10,2,8,10,8,8,4,10,8,6,2,6,10,735,5,Medium
43,Price-Pruitt General Hospital,8,10,4,4,2,10,8,8,8,8,10,8,2,8,10,10,2,6,735,1,Medium
44,Alexander-Ayers Hospital Group,2,10,8,4,10,8,4,10,6,10,8,8,6,8,2,6,8,8,735,5,Medium
45,Martinez-Adams General Hospital,8,8,8,2,4,8,10,8,8,10,6,10,4,6,4,8,4,10,735,1,Medium
46,Humphrey-Lawrence Medical Center,6,2,10,10,8,2,8,8,2,8,10,8,2,8,10,10,8,4,730,4,High
47,Thomas and Sons Hospital Group,2,10,10,6,4,10,8,8,8,10,10,6,6,6,6,4,6,4,730,3,High
48,Roberts-Young Medical Center,2,10,8,10,8,8,6,8,4,10,4,8,4,2,10,8,6,8,730,4,High
49,"Bolton, Chavez and Wiley Hospital Group",6,4,10,8,4,2,10,10,4,10,10,10,2,8,8,6,8,4,730,2,High
50,"Montgomery, Reid and Glenn General Hospital",6,4,10,10,10,10,4,6,4,6,10,4,6,4,2,10,8,10,730,1,High
51,Johnson-Evans Medical Center,10,2,6,8,8,8,2,6,10,10,6,4,6,4,10,8,10,6,730,3,High
52,"Russell, Powell and Gibson Medical Group",8,6,8,8,6,2,6,10,10,4,6,6,4,4,8,10,10,8,730,2,High
53,"Brown, Wilkins and Moran Medical Center",10,8,6,2,2,2,6,6,10,8,8,4,10,10,10,8,8,6,725,2,Medium
54,Howard-Miranda General Hospital,6,8,10,6,2,8,10,8,8,4,6,10,10,8,4,8,2,6,725,4,Medium
55,Johnston and Sons General Hospital,10,4,10,4,6,10,2,8,6,10,6,2,4,10,10,8,4,10,725,2,Medium
56,Lester and Sons Hospital Group,10,2,2,8,6,10,10,2,6,10,4,6,8,10,8,8,6,8,725,5,Medium
57,"Peters, Fox and Walker Hospital Group",8,8,8,2,6,8,8,10,2,2,10,6,10,8,6,8,4,10,725,3,Medium
58,Lee-Davenport Hospital Group,6,6,10,8,6,10,6,4,2,2,10,4,10,8,8,8,10,6,725,2,Medium
59,Morris-Owens Medical Center,8,10,2,6,10,10,8,6,10,2,4,6,6,8,10,4,6,8,725,2,Medium
60,Smith-Schwartz General Hospital,10,4,4,10,4,6,8,4,2,8,10,8,10,6,10,2,10,8,725,2,Medium
61,Wall-Luna Medical Group,4,6,6,10,8,4,4,2,8,10,10,8,2,4,10,10,8,8,720,3,High
62,Jacobs PLC Medical Center,10,6,8,6,10,10,6,2,10,8,8,10,2,2,4,4,8,8,720,2,High
63,Hamilton Medical Center,8,10,8,2,10,6,10,10,10,4,10,8,4,4,10,4,2,2,720,4,High
64,"Smith, Harris and Brown Medical Center",8,4,8,4,8,10,10,10,8,6,2,10,4,10,2,8,6,4,720,3,High
65,Hodges and Sons General Hospital,6,10,10,4,8,4,8,8,8,10,8,4,4,2,10,6,8,4,720,4,High
66,"Stephens, Hamilton and Munoz Medical Center",10,4,10,6,8,10,2,2,10,10,2,6,6,6,8,10,6,6,720,1,High
67,"Lewis, Johnston and Hart Medical Center",8,6,10,2,4,2,6,8,10,4,10,6,10,2,10,8,10,6,720,3,High
68,Boyd-Sutton Hospital Group,10,4,6,2,2,2,10,10,4,8,10,8,10,4,10,8,10,4,720,3,High
69,"Mills, Davis and Mullins General Hospital",10,4,8,8,2,6,6,8,6,2,8,10,6,8,8,6,10,6,715,2,Medium
70,Reilly and Sons Medical Center,8,8,6,10,6,8,2,10,4,6,8,6,8,4,6,10,2,10,715,5,Medium
71,"Martin, Macdonald and Lee Medical Group",2,8,10,4,2,8,8,8,10,10,4,4,10,10,4,2,8,10,715,4,Medium
72,Holmes PLC Medical Center,10,8,8,8,10,4,10,2,2,8,6,4,10,10,6,4,2,10,715,5,Medium
73,Ruiz and Sons General Hospital,4,10,10,10,2,10,2,10,4,8,4,6,6,6,4,10,6,10,715,4,Medium
74,"Hampton, Garcia and Bell Medical Center",10,10,8,8,6,8,2,10,6,10,6,4,6,6,8,2,4,8,715,3,Medium
75,Thomas-Gonzalez Medical Group,6,10,10,2,4,6,2,10,2,2,4,8,10,10,8,8,10,10,715,3,Medium
76,"Brown, Huff and Watts Medical Center",6,6,8,10,4,10,6,6,4,10,8,8,4,2,8,2,8,10,710,3,High
77,Mccarty-Wheeler Medical Group,10,4,6,8,2,8,10,6,10,10,8,4,2,4,10,10,2,6,710,3,High
78,Knight-Patrick General Hospital,10,6,8,8,6,8,8,4,4,8,10,2,8,6,8,10,4,2,710,3,High
79,Johnson Medical Center,4,6,10,8,4,6,10,8,6,10,10,8,2,4,6,6,8,4,710,2,High
80,Casey PLC General Hospital,10,2,10,4,4,8,2,8,8,4,10,6,6,10,10,4,10,4,710,5,High
81,Miller-Simmons General Hospital,2,10,8,6,6,8,10,2,10,8,8,8,6,4,4,6,10,4,710,3,High
82,Myers PLC General Hospital,6,8,4,10,10,6,10,4,8,10,6,6,4,6,2,6,10,4,710,5,High
83,Odonnell-Hampton Hospital Group,6,8,4,10,6,8,10,2,6,10,10,6,8,10,4,4,2,6,705,1,Medium
84,"Gallagher, Miller and Jones Medical Group",4,10,10,2,8,6,2,8,4,2,10,10,4,6,10,8,6,10,705,1,Medium
85,Barrett-Collier General Hospital,10,4,2,2,10,4,10,4,6,4,4,8,8,10,8,10,6,10,705,2,Medium
86,"Mckinney, Cook and Bell Medical Group",4,10,8,8,2,2,6,8,4,8,4,6,10,10,6,4,10,10,705,5,Medium
87,Booth-Choi Medical Center,8,4,4,4,4,10,10,8,4,8,8,8,6,6,8,2,8,10,705,3,Medium
88,"Smith, Stewart and Thomas Hospital Group",8,10,4,10,8,6,6,2,8,8,4,2,8,10,4,6,8,8,705,5,Medium
89,Powell-Mooney Hospital Group,10,4,4,4,8,10,8,2,6,10,4,6,10,6,4,10,8,6,705,2,Medium
90,Fry-Smith Medical Group,6,2,6,2,2,2,10,8,6,4,4,10,10,10,10,8,10,10,705,2,Medium
91,Frederick-Wright Medical Center,4,8,6,8,8,8,6,4,6,8,6,6,10,8,6,4,10,4,705,2,Medium
92,Robles PLC General Hospital,2,8,8,10,2,10,10,10,6,2,6,8,10,10,8,6,2,2,705,1,Medium
93,"Richardson, Lopez and Rice General Hospital",2,10,8,10,8,10,8,8,10,6,6,6,2,4,4,4,8,4,700,5,High
94,Long Hospital Group,10,6,2,2,2,2,8,10,10,10,10,8,2,10,8,10,6,2,700,4,High
95,Richards General Hospital,6,10,6,6,4,10,10,10,6,2,4,6,6,6,2,10,10,4,700,4,High
96,Vega-Terry General Hospital,2,10,8,4,2,10,10,10,10,2,10,4,6,6,6,6,6,6,700,1,High
97,Clark-Frank Medical Group,8,8,8,8,6,8,8,6,4,6,4,4,8,6,8,6,8,4,700,3,High
98,Lyons and Sons General Hospital,10,8,4,8,6,4,10,4,10,2,6,2,8,10,6,10,8,2,700,5,High
99,"Robles, Parsons and Thompson Medical Center",8,10,2,8,10,10,6,6,6,10,2,4,6,4,6,10,6,4,700,4,High
100,"Adams, Ramirez and Roberts Medical Group",6,4,2,4,8,2,2,10,10,2,8,10,6,10,6,10,8,10,695,1,Medium
101,Gibson and Sons Medical Center,10,10,10,10,6,8,2,2,8,2,2,10,4,8,8,6,2,10,695,5,Medium
102,Greene-Hurley Hospital Group,6,6,8,4,2,8,6,4,8,6,8,10,2,10,10,4,8,8,695,3,Medium
103,Garcia Medical Group,8,10,2,4,8,10,4,6,4,8,2,2,10,8,10,8,4,10,695,2,Medium
104,Guerra and Sons Medical Center,10,10,2,4,4,2,10,10,8,8,10,10,6,6,2,6,6,4,695,2,Medium
105,Grant-Carlson Hospital Group,10,10,6,10,6,6,4,2,4,2,10,8,2,8,10,2,10,8,695,2,Medium
106,Dixon-Phillips General Hospital,2,8,10,6,4,10,6,2,4,4,8,10,8,10,8,10,4,4,695,2,Medium
107,"Perkins, Tapia and Berry Medical Center",6,10,2,4,4,6,6,10,4,6,8,4,10,4,10,8,10,6,695,3,Medium
108,Hale-Proctor Medical Center,8,4,4,4,10,8,10,10,6,2,10,8,8,2,2,6,8,6,690,4,High
109,Fields Medical Center,4,8,6,10,6,6,2,8,6,8,8,6,4,8,6,10,8,2,690,3,High
110,"Gonzales, Scott and Diaz Medical Center",8,6,10,8,6,10,4,4,6,6,4,4,6,6,8,8,6,6,690,5,High
111,"Nelson, Wood and Burke Medical Group",4,6,6,10,8,10,8,10,4,6,8,6,10,4,6,4,2,4,690,5,High
112,Greene-Brock Medical Center,2,4,6,10,8,8,8,6,2,4,8,10,10,8,6,8,6,2,690,3,High
113,Snow PLC General Hospital,2,2,8,10,8,2,6,2,10,6,8,6,10,6,10,10,4,6,690,1,High
114,Reyes-Alvarez Medical Center,10,10,10,10,10,2,10,2,10,4,2,4,4,8,4,2,10,4,690,5,High
115,Gordon-Rosales Medical Group,10,10,8,6,10,6,4,10,4,4,4,8,4,2,10,6,4,6,690,5,High
116,Lopez Inc Medical Group,10,4,6,8,10,8,10,8,4,6,8,6,4,4,2,10,4,4,690,2,High
117,Ayers PLC Hospital Group,8,2,10,2,4,8,4,6,10,6,10,8,2,2,6,8,10,10,690,3,High
118,Mitchell-Long Medical Group,2,2,10,6,4,4,10,8,10,2,4,8,6,6,8,10,6,10,690,4,High
119,Blackburn Medical Center,6,2,10,6,4,4,8,10,10,10,6,6,10,2,6,8,6,2,690,3,High
120,"Raymond, Rosales and Willis Hospital Group",4,4,10,8,2,6,10,8,6,6,2,6,8,8,8,8,8,4,690,4,High
121,Miller-Hernandez General Hospital,8,10,4,8,8,2,4,4,10,8,8,8,4,4,4,8,8,6,690,4,High
122,Miller-Davis Medical Group,8,8,2,6,10,10,8,4,4,10,8,4,2,2,4,8,8,10,690,3,High
123,"Benson, Brown and Reyes General Hospital",8,8,10,8,8,4,4,6,8,2,8,10,2,6,8,4,10,2,690,2,High
124,Torres-Reyes Medical Group,2,8,4,8,6,8,8,4,8,4,10,4,6,8,10,8,8,2,690,4,High
125,Chapman Medical Center,4,6,10,10,2,2,2,8,4,4,10,6,8,2,10,10,8,10,690,3,High
126,Sims-Walter Medical Center,6,2,8,10,10,8,4,8,10,6,2,10,4,6,4,4,6,8,690,3,High
127,Fowler-Aguirre General Hospital,10,4,6,2,10,8,10,4,4,8,8,6,4,6,2,10,8,6,690,5,High
128,Johnson-Martinez Medical Group,10,8,4,10,6,8,8,8,2,2,8,6,2,10,2,10,6,6,685,2,Medium
129,Sanchez-Johnson Medical Group,10,10,2,8,6,2,2,10,10,10,2,2,4,8,10,4,6,10,685,1,Medium
130,Juarez Hospital Group,6,4,10,8,6,6,8,8,2,4,4,8,8,8,8,2,10,6,685,2,Medium
131,"Gillespie, Lewis and Escobar Medical Center",4,6,6,8,10,8,6,4,8,10,4,2,6,6,10,2,6,10,685,5,Medium
132,"Gonzalez, Lopez and Flores Hospital Group",6,10,6,10,4,6,6,6,6,6,2,6,2,10,8,6,8,8,685,2,Medium
133,"King, Ross and Cain Medical Group",10,10,10,4,4,10,2,2,4,8,2,4,8,4,8,10,8,8,685,5,Medium
134,"Richardson, Young and Moreno Hospital Group",4,10,8,6,10,6,10,4,2,8,4,2,10,8,8,6,2,8,685,2,Medium
135,"Patterson, Sanford and Stewart Hospital Group",8,4,4,10,8,6,10,4,8,6,10,2,6,8,4,6,2,10,685,4,Medium
136,Conway-White Medical Group,2,4,10,8,2,10,8,6,4,4,6,10,8,10,8,4,2,10,685,2,Medium
137,Rhodes-Moreno Medical Group,8,4,4,6,8,8,10,4,2,6,6,10,10,10,6,10,2,2,685,5,Medium
138,"Collins, Buckley and Montes Medical Center",8,10,8,2,2,8,6,4,6,10,8,8,2,10,2,6,8,8,685,3,Medium
139,Olson Medical Center,4,10,6,4,4,10,8,2,10,10,6,10,8,6,2,6,2,8,685,5,Medium
140,"James, Graham and Avila Medical Group",8,10,4,4,8,10,6,10,2,10,6,8,2,10,2,6,6,4,685,1,Medium
141,Park Hospital Group,10,6,2,10,8,8,2,4,6,10,2,8,10,4,10,4,6,6,685,5,Medium
142,"Meyer, Howe and Day Medical Center",6,4,6,6,6,2,4,8,2,8,6,2,10,10,6,10,10,10,685,2,Medium
143,"Smith, Wood and Walls Hospital Group",8,10,10,2,8,4,6,6,10,6,2,6,6,4,6,4,10,6,680,4,High
144,"Ross, Taylor and Haynes Medical Group",4,8,10,10,2,6,2,4,10,6,2,8,8,6,8,8,8,4,680,2,High
145,"Marshall, Barnett and Cook Medical Center",8,4,10,6,6,6,4,6,8,4,8,8,6,6,10,4,6,4,680,4,High
146,Blanchard-Cruz General Hospital,2,4,8,2,10,10,4,8,6,4,8,2,10,8,10,10,6,2,680,4,High
147,Patel Hospital Group,6,2,10,10,4,2,4,4,8,10,8,2,10,2,10,4,10,8,680,1,High
148,Chapman-Hood Medical Center,10,8,6,8,2,8,10,2,8,2,6,6,8,2,2,10,6,10,680,2,High
149,Mckinney Inc Medical Center,8,10,10,6,2,4,10,2,6,8,8,8,10,2,10,2,4,4,680,1,High
150,Wilson-Cooper General Hospital,10,6,10,10,10,2,2,6,8,4,4,10,2,4,6,2,10,8,680,5,High
151,Adams Hospital Group,10,2,6,8,10,10,6,8,8,6,6,4,4,10,2,4,4,6,680,3,High
152,Bailey General Hospital,8,4,8,10,8,10,10,2,6,10,2,6,6,2,8,4,6,4,680,5,High
153,Espinoza-Gregory General Hospital,8,6,2,8,8,10,6,8,10,2,10,4,4,8,2,4,10,4,680,2,High
154,"Ellis, Burch and Dorsey Medical Center",6,8,10,10,4,4,2,10,6,6,8,8,4,8,6,10,2,2,680,2,High
155,"Moore, Phillips and Martin General Hospital",10,6,6,6,8,8,10,6,4,8,10,4,2,2,10,8,4,2,680,5,High
156,Gonzalez and Sons Medical Center,10,8,2,10,8,6,10,8,8,2,8,2,4,2,6,10,6,4,680,5,High
157,Brennan-Thomas Medical Center,6,10,6,10,4,8,8,8,2,6,8,8,8,2,10,4,4,2,680,2,High
158,Martinez-Miller Hospital Group,8,8,4,6,6,8,4,10,2,6,8,2,6,10,8,2,8,8,675,4,Medium
159,"Stevens, Yoder and Mccann General Hospital",10,6,4,10,2,6,8,10,6,8,8,2,6,8,8,2,4,6,675,1,Medium
160,Hernandez-King General Hospital,4,10,10,4,8,8,10,2,8,2,6,4,2,10,2,6,10,8,675,1,Medium
161,"Evans, Hall and Garza General Hospital",2,6,4,4,2,8,6,6,4,4,10,10,10,10,4,6,8,10,675,2,Medium
162,Grant PLC General Hospital,4,2,8,6,8,10,10,4,2,4,2,10,8,4,10,8,4,10,675,2,Medium
163,Werner-Parker General Hospital,6,10,10,4,2,8,4,6,8,4,8,4,10,6,4,6,4,10,675,1,Medium
164,"Huffman, Wilson and Figueroa Hospital Group",8,8,2,2,4,2,6,4,8,6,10,8,6,10,8,8,10,4,675,5,Medium
165,Davidson Inc Medical Center,6,8,8,4,10,8,2,10,4,6,2,10,8,2,4,2,10,10,675,1,Medium
166,Miller PLC General Hospital,6,4,2,2,4,6,8,10,10,2,8,10,10,6,2,10,6,8,675,2,Medium
167,Fry Hospital Group,10,4,2,8,4,6,2,8,4,10,8,8,2,8,4,10,6,10,675,4,Medium
168,Thompson PLC General Hospital,4,8,8,2,8,10,4,2,4,10,6,2,10,8,6,8,6,8,675,1,Medium
169,Thomas-French Hospital Group,2,2,10,2,4,8,8,8,8,8,10,8,8,6,6,4,6,4,670,1,High
170,"Mendoza, Nelson and Acosta Medical Group",4,8,6,6,2,6,8,8,10,10,2,6,4,6,2,10,6,8,670,1,High
171,"Sanchez, Jones and Rivera Hospital Group",2,2,10,2,8,8,6,4,6,10,8,6,8,4,8,10,8,2,670,1,High
172,"Ford, Finley and Joseph Medical Group",4,4,6,10,2,2,8,8,10,6,10,4,4,2,6,10,6,10,670,2,High
173,"Wang, Meyers and Chapman Medical Center",10,6,4,4,2,4,8,2,8,2,10,6,10,6,10,10,8,2,670,5,High
174,"Fowler, Meyer and Morris Medical Center",6,8,10,2,10,6,2,4,10,6,8,6,2,2,4,10,8,8,670,4,High
175,Williams Hospital Group,2,6,8,8,8,10,6,8,2,6,4,8,2,10,8,10,4,2,670,1,High
176,Campbell PLC Hospital Group,10,6,8,8,10,4,2,6,10,10,2,4,4,10,6,6,4,2,670,5,High
177,Perry Medical Group,2,10,4,10,8,4,8,4,4,10,6,4,2,6,10,6,10,4,670,3,High
178,Jones PLC Medical Center,10,8,10,6,10,6,6,10,2,4,4,2,2,2,4,10,6,10,670,2,High
179,Whitaker Hospital Group,10,10,2,4,8,8,4,2,10,2,4,10,6,6,6,10,8,2,670,1,High
180,Johnson and Sons General Hospital,2,2,6,10,10,2,10,8,10,10,6,2,8,2,2,6,8,8,670,4,High
181,"Davis, Contreras and Robbins Hospital Group",10,2,4,2,8,6,8,4,6,2,6,6,8,8,8,10,8,6,665,5,Medium
182,"Mercado, Matthews and Hampton Medical Group",6,10,6,4,6,8,2,8,4,6,6,4,2,10,10,8,8,4,665,3,Medium
183,Gallegos General Hospital,8,6,8,10,2,8,8,2,2,6,4,4,4,8,10,4,10,8,665,2,Medium
184,"Maynard, Peters and Gilbert Medical Center",6,8,8,2,10,10,2,4,2,6,2,4,8,10,8,6,8,8,665,5,Medium
185,Bishop-Petty Hospital Group,2,8,2,6,4,10,4,10,10,6,6,6,8,10,10,2,4,4,665,4,Medium
186,Meyer-Martinez General Hospital,10,8,2,8,10,8,8,4,4,6,10,2,4,10,4,4,4,6,665,3,Medium
187,Allen-Carter General Hospital,6,10,2,2,2,10,2,10,8,10,6,4,8,10,8,10,2,2,665,2,Medium
188,"Jones, Mueller and Wolfe Medical Group",6,8,10,4,4,10,4,4,4,6,8,8,4,4,2,8,10,8,665,5,Medium
189,Lewis-Proctor Medical Group,10,4,10,6,6,6,4,4,4,6,8,6,10,8,8,2,4,6,665,3,Medium
190,Hammond-Johnson Medical Center,8,8,4,4,6,6,8,6,4,10,4,10,4,8,4,4,8,6,665,3,Medium
191,Mitchell PLC Medical Center,2,4,2,6,2,4,8,2,4,10,10,10,10,8,4,8,10,8,665,2,Medium
192,"Horn, Baker and Newman General Hospital",6,8,10,2,8,2,2,2,10,8,2,10,6,6,8,4,10,8,665,5,Medium
193,West PLC General Hospital,6,8,6,10,4,10,4,6,2,8,2,10,4,8,6,2,10,6,665,1,Medium
194,Brown General Hospital,10,8,2,2,10,2,8,8,2,6,8,10,4,8,6,6,4,8,665,1,Medium
195,Jones Inc Medical Group,8,10,6,6,4,4,4,6,6,8,2,8,10,8,4,4,10,4,665,5,Medium
196,Warren-Allen Medical Group,10,8,4,2,10,10,6,4,4,10,4,8,8,2,6,4,2,10,665,3,Medium
197,Key Hospital Group,2,10,2,2,6,2,8,10,10,4,2,10,10,6,4,10,8,6,665,2,Medium
198,Hernandez PLC General Hospital,4,6,10,4,2,6,6,10,4,10,4,4,10,4,8,6,8,4,660,5,High
199,Gentry PLC Medical Group,4,8,6,6,8,8,6,4,10,6,6,2,10,4,2,8,6,6,660,5,High
200,Edwards-May Medical Center,8,8,10,10,6,8,6,10,6,2,6,2,2,2,10,2,4,8,660,1,High
201,"Young, Clarke and Meyer Hospital Group",10,6,10,2,2,6,6,6,8,6,10,6,4,10,6,6,4,2,660,1,High
202,Fowler PLC Medical Center,10,4,8,2,2,4,10,10,8,6,10,6,6,2,4,8,6,4,660,3,High
203,Thomas-Fowler Medical Group,6,2,8,8,10,10,2,4,6,8,8,6,4,2,6,10,8,2,660,4,High
204,"Nelson, Aguirre and Hodges Medical Group",10,4,4,4,4,10,10,6,10,10,2,2,8,2,6,4,10,4,660,5,High
205,"Olson, Hernandez and Barker Hospital Group",10,8,2,8,2,8,8,8,6,10,6,4,10,2,8,4,2,4,660,2,High
206,Cole and Sons Medical Center,2,6,8,6,6,2,10,8,10,10,2,2,10,8,10,4,4,2,660,1,High
207,"Bailey, Young and Freeman Medical Center",8,6,6,8,10,10,2,4,10,2,8,10,2,2,4,6,8,4,660,1,High
208,"Black, Middleton and Carpenter Medical Group",8,4,8,8,6,10,4,6,6,4,2,10,2,2,10,4,8,8,660,3,High
209,Wilson Medical Center,2,10,6,10,10,2,10,10,2,6,6,6,4,4,6,6,6,4,660,4,High
210,"Vasquez, Johnson and Wright Medical Group",2,10,8,10,2,2,6,8,6,6,10,4,4,8,2,10,8,4,660,2,High
211,"Vega, Henry and Wagner Medical Center",2,2,6,8,10,8,6,6,4,10,4,2,4,4,6,8,10,10,660,5,High
212,Holland Inc Medical Group,10,8,4,8,4,6,10,2,8,10,6,2,2,6,2,10,6,6,660,4,High
213,Bridges-Burns Medical Center,6,6,2,10,8,10,2,8,6,2,8,4,2,6,10,8,4,8,660,1,High
214,Miller General Hospital,8,2,6,10,6,8,4,4,10,8,6,8,10,2,2,6,4,6,660,1,High
215,"Gonzales, Knight and Wright Hospital Group",6,6,4,8,6,4,4,8,10,6,10,4,8,8,2,6,6,4,660,4,High
216,Cole Hospital Group,8,10,4,4,6,4,4,4,2,10,2,2,10,6,10,8,6,10,655,1,Medium
217,Rose Inc Medical Center,10,8,4,4,10,2,8,2,2,8,8,8,10,2,8,2,6,8,655,3,Medium
218,Thomas-Perkins Medical Group,10,8,4,4,6,8,4,2,8,2,10,2,8,8,10,2,8,6,655,3,Medium
219,Waters-Harvey General Hospital,6,2,8,8,2,6,10,2,4,10,2,10,6,8,6,6,4,10,655,4,Medium
220,Johnston-Hicks General Hospital,4,6,4,2,8,4,2,10,8,6,4,10,8,10,8,10,4,2,655,2,Medium
221,Newman Inc Hospital Group,6,4,4,4,2,2,6,2,10,2,8,10,10,10,10,6,6,8,655,1,Medium
222,Mejia Inc Hospital Group,8,10,10,2,4,8,6,10,6,4,6,2,4,10,2,2,8,8,655,4,Medium
223,Davidson-Diaz Hospital Group,8,8,4,6,8,2,8,8,8,2,4,4,6,10,6,4,8,6,655,1,Medium
224,Anderson-Morrison Hospital Group,2,10,2,8,6,2,8,6,4,2,8,10,8,8,4,8,6,8,655,5,Medium
225,"Contreras, Kramer and Silva Medical Center",6,10,4,6,8,2,10,6,6,8,2,6,10,8,2,4,4,8,655,2,Medium
226,"Silva, Love and Rios Hospital Group",8,8,8,2,10,2,6,10,2,8,2,8,6,10,8,2,4,6,655,2,Medium
227,Armstrong-Hart Medical Group,8,8,2,4,6,2,6,4,8,2,6,8,8,4,4,10,10,10,655,5,Medium
